Source,Target,Weight,Type
cintamwu,tanyakanrl,1,Directed
aalim_ashari,BangPino__,1,Directed
Survive6969,ngemtot,1,Directed
sherinuull,MyBeeYoongi,1,Directed
aka678,fatwahatiku,1,Directed
godspeeedss,moviemnfs,1,Directed
farhanzlkr,theyycallmebass,1,Directed
bananaww16,luvnekh,1,Directed
cintayve,Prodigy465604,1,Directed
calonnMagisterr,18fesss,1,Directed
